dates,url,title,title_score,first_para,firstP_score,content_scores
3/14/19,https://www.businessinsider.com/tesla-model-y-price-predictions-2019-3,Tesla is about to reveal the Model Y — here's how much it could cost (TSLA),0, Tesla will reveal its upcoming Model Y crossover SUV on Thursday. ,0,0.059745455
4/8/19,https://www.businessinsider.com/tesla-mercedes-benz-autonomous-car-gaming-2019-4,"Gaming will be a key differentiator in autonomous vehicles (TSLA, DDAIF, AUDVF, PONGF)",0," The bigger picture:Gaming will likely become a critical part of how automakers differentiate their in-car entertainment offerings. In a future where companies sell or operate fleets of AVs and all other factors — including price, availability, and self-driving tech capabilities — the in-car experience could be a key competitive differentiator. Gaming is only one of a variety of entertainment options companies are exploring for use in AVs — VR and video streaming will also likely be marquee features — but its popularity suggests that it will be a key focus for auto companies as they seek to develop unique offerings. As such, we expect more AV companies to form partnerships with name-brand gaming companies or reach out to previously untapped sources to develop — and ultimately monetize — new games for their cars, the way Tesla and Mercedes have. ",0.2636,0.3182
4/5/19,https://www.businessinsider.com/tesla-stock-price-to-plunge-80-biggest-bear-says-2019-4,Wall Street's biggest Tesla bear says shares are going to crater 80% to $54 (TSLA),0.296,"Tesla is set to plunge 80% to $54 a share, a level last seen in May 2013, according to the biggest Tesla bear on Wall Street.",0.296,-0.155523077
3/19/19,https://www.businessinsider.com/stock-market-news-opening-bell-march-19-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, TLRY)",0,Reuters/Ronen Zvulun/File Photo,0,0
3/12/19,https://www.businessinsider.com/tesla-stock-price-elon-musk-electric-car-maker-demand-slowdown-2019-3,"Tesla is facing an 'air pocket' in demand earlier than expected, Morgan Stanley says (TSLA)",-0.128,A confluence of volatile issues at Tesla has led Morgan Stanley to slash its outlook for the second time in as many months.,-0.2732,-0.1097
3/15/19,https://www.businessinsider.com/teslas-financial-problems-return-2019-2019-3,Wall Street is worried that Tesla's going broke yet again (TSLA),-0.6124," Just over a month after Tesla CEO Elon Musk told investors that the company would be profitable going forward, its finances are once again the subject of Wall Street's most intense scrutiny. Tesla skeptics see blood in the water, while the company's supporters (still optimistic for the long term) have resigned themselves to yet another nail-biter of a year. ",0.4814,0.016917188
3/18/19,https://www.businessinsider.com/tesla-model-y-crossover-suv-2019-3,Tesla's Model Y pulls from the Model 3's playbook (TSLA),0," Last Thursday, Tesla lifted the veil on its much-anticipated Model Y crossover SUV at its California headquarters,  according to Popular Science. ",0.4215,0.355309524
3/20/19,https://www.businessinsider.com/nvidia-expands-av-tech-footprint-2019-3,"Why Nvidia is broadening its AV portfolio (NVDA, TSLA, TM, VLVLY, AUDVF)",0," Nvidia is broadening its self-driving portfolio to help cushion against negative effects should customers move production of AV computing systems in-house. Last year, Tesla, arguably Nvidia's highest-profile customer,  abandoned Nvidia's AV computing systems, instead choosing to build its own chipsets. Nvidia likely fears more of its customers — which  include Toyota, Volvo, and Audi — could follow suit. Although the risk of automakers bringing chip design and production in-house is likely small in the short term — because computing systems take years to develop — the long-term risk is significant. ",-0.405975,0.13939375
4/4/19,https://www.businessinsider.com/tesla-elon-musk-sec-court-hearing-live-2019-4,LIVE: Elon Musk has arrived at court to face off against the SEC (TSLA),0,Tesla CEO Elon Musk and his legal team have arrived for a Thursday court hearing in the case against him brought by the Securities and Exchange Commission (SEC). ,0.4019,-0.01137561
4/9/19,https://www.businessinsider.com/tesla-senior-director-of-global-security-leaves-company-2019-4,Tesla's senior director of global security has left the company (TSLA),0.34," Karl Wagner, Tesla's senior director of global security, has left the company, Wagner announced in a  LinkedIn post on Monday. ",0.34,0.1943
